               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.028853,            0.019306,           0.0012838,             0.90129,             0.79753,             0.85878,             0.53952,            0.032043,            0.020741,           0.0063435,           0.0022358,           0.0022358,           0.0022358
                  93,            0.028834,            0.019468,           0.0016713,             0.89478,             0.81416,             0.85867,             0.53834,            0.031973,            0.020805,           0.0059781,           0.0021558,           0.0021558,           0.0021558
                  94,            0.028729,            0.019974,           0.0013779,             0.89005,             0.81012,              0.8613,             0.54029,            0.032014,            0.020828,           0.0057059,           0.0020782,           0.0020782,           0.0020782
                  95,            0.028858,            0.019894,           0.0013663,             0.89639,             0.81585,             0.86455,             0.53818,            0.032121,            0.020609,           0.0059481,           0.0020028,           0.0020028,           0.0020028
                  96,            0.028349,            0.019352,           0.0013173,             0.91041,             0.80406,             0.86146,             0.53966,             0.03185,            0.020727,           0.0060944,           0.0019299,           0.0019299,           0.0019299
                  97,            0.028797,            0.019713,           0.0012467,             0.90387,             0.81226,             0.86474,             0.53591,            0.031879,            0.020713,           0.0062648,           0.0018594,           0.0018594,           0.0018594
                  98,            0.028492,            0.019545,           0.0013064,             0.90973,             0.79941,             0.86014,             0.53495,            0.031611,            0.020756,           0.0067911,           0.0017914,           0.0017914,           0.0017914
                  99,            0.028864,            0.019712,           0.0013128,             0.91573,             0.78936,             0.85806,             0.53734,            0.031903,            0.020775,            0.007035,            0.001726,            0.001726,            0.001726
                 100,            0.028514,            0.019885,           0.0013391,             0.91414,             0.80431,             0.86139,             0.53926,            0.031861,            0.020485,           0.0068268,           0.0016631,           0.0016631,           0.0016631
                 101,            0.028682,            0.019345,            0.001346,             0.90716,             0.80311,             0.86374,             0.54279,            0.031995,            0.020816,           0.0065736,           0.0016029,           0.0016029,           0.0016029
                 102,            0.028426,            0.019011,           0.0012653,              0.8896,             0.82084,              0.8654,             0.54021,            0.031861,            0.020621,           0.0061833,           0.0015453,           0.0015453,           0.0015453
                 103,            0.028206,            0.018588,           0.0012696,             0.88862,             0.82728,              0.8619,             0.54489,            0.031769,            0.020632,           0.0062331,           0.0014905,           0.0014905,           0.0014905
                 104,            0.028194,            0.019428,           0.0012928,             0.90007,             0.81802,             0.86236,             0.54378,            0.031856,            0.020454,            0.006221,           0.0014384,           0.0014384,           0.0014384
